,author,cid,text,time,search_query,video_id,word_count,char_lengh,n_avg_word,n_numerics,upper_case,time_tag,urls_tag,hash_tag,emoji_tag,polarity,subjectivity,sentiment
0,NikoLogy,UgwI80r_KkeR1H76McB4AaABAg,"Aap apni life ko behtar banane ke liye kya karte ho? Use #myperfectlife #nikology and apna vichar Facebook,twitter ya comment me kah par bhi likh skte ho.. and share this video with your friends, thanks for support.. nikology family 300k ho chuki hai aap sab hai tabhi me hun thank you so much dil se﻿",1 year ago,howtoimproveyourself,iIpeX06xBRM,55,301,4.490909091,0,0,,,#myperfectlife,,0.2,0.2,positive
1,nayacte,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8fn7q9VP92m,Get up early morning﻿,1 year ago,howtoimproveyourself,iIpeX06xBRM,4,21,4.5,0,0,,,,,0.1,0.3,positive
2,Shivanchal gupta,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8g35cdtqb6K,NikoLogy good v d o﻿,11 months ago,howtoimproveyourself,iIpeX06xBRM,5,20,3.2,0,0,,,,,0.7,0.6,positive
3,Shikha Kushwaha,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8gISxb1A47W,NikoLogy kya hota h﻿,11 months ago,howtoimproveyourself,iIpeX06xBRM,4,20,4.25,0,0,,,,,0,0,neutral
4,Ritu Rai,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8gbtYYNCVVq,Sir mai actoress banana chahti hu bt mai kaise banu bahut problem hai﻿,11 months ago,howtoimproveyourself,iIpeX06xBRM,13,70,4.461538462,0,0,,,,,0,0,neutral
5,Pooja Yadav,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8h3nEiqPj-y,NikoLogy it is a best video for concentrate on our life﻿,11 months ago,howtoimproveyourself,iIpeX06xBRM,11,56,4.181818182,0,0,,,,,1,0.3,positive
6,Yogita Jangid,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8hMMOKxZXZ3,Apne ding me aae vhi Krna cahiye Dusro bole vo nhi krna﻿,10 months ago,howtoimproveyourself,iIpeX06xBRM,12,56,3.75,0,0,,,,,0,0,neutral
7,Anita Raj,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8iCOA1EeA9b,Happy rhe and no tensan﻿,10 months ago,howtoimproveyourself,iIpeX06xBRM,5,24,4,0,0,,,,,0.8,1,positive
8,Sagar Gupta,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8iTqvLNikQN,I m so confused in my life﻿,9 months ago,howtoimproveyourself,iIpeX06xBRM,7,27,3,0,1,,,,,-0.4,0.7,negative
9,Pradeep Dubey,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8j-kxnwc2rw,NikoLogy agar koi networker hai to kya aap ki last tips kaam karegi﻿,9 months ago,howtoimproveyourself,iIpeX06xBRM,13,68,4.307692308,0,0,,,,,0,0.06666666667,neutral
