,categoryId,channelId,channelTitle,commentCount,description,dislikeCount,likeCount,publishedAt,title,vidId,viewCount
0,17,UCB_qr75-ydFVKSF9Dmo6izg,FORMULA 1,1095,"New Scuderia Ferrari signing Charles Leclerc put in a solid 157 laps during his first run in the SF90 on the second day of pre-season testing, and claimed the fastest time of the day as well! Jump on board with the Monegasque for a his first lap in anger as a Ferrari man.

For more F1® videos, visit http://www.Formula1.com

Like F1® on Facebook: https://www.facebook.com/Formula1/

Follow F1® on Twitter: http://www.twitter.com/F1

Follow F1® on Instagram: http://www.instagram.com/F1

#F1 #F1Testing",153,14967,2019-02-20T14:31:50.000Z,Charles Leclerc Goes Fastest for Ferrari on Day 2 | F1 Testing 2019,gWK9uu1Df9A,568846
1,17,UCxuksozHJD_f1w9nVa6UhAw,Autosport,472,"Ferrari has talked of trying to be ""extreme"" with its 2019 F1 car, but from the images seen so far it doesn't appear to be an overly complex design. Jake Boxall-Legge joins Glenn Freeman to highlight the areas where it's clear Ferrari has made big changes, and to discuss if the more simple parts of the car are a launch specification, or Ferrari sticking to its guns with concepts it has faith in",109,2342,2019-02-15T16:34:06.000Z,How Ferrari has mixed &#39;extreme&#39; with simple: 2019 SF90 F1 technical analysis,-sgn14Anm-4,230072
2,2,UCd8iY-kEHtaB8qt8MH--zGw,Ferrari,715,"Discover all contents at SF90.ferrari.com

Follow us on Facebook http://www.facebook.com/ScuderiaFerrari
and Twitter http://twitter.com/ScuderiaFerrari

Ferrari Since 1947
http://formula1.ferrari.com",115,7200,2019-02-15T11:10:53.000Z,Discovering the SF90,T6fjCqPmJU0,205366
3,2,UCRDjY_6yCZ8lH899DPTsE9A,Automoto.it,275,"E' stata presentata a Maranello la nuova Ferrari SF90, la nuova monoposto di Vettel e Leclerc che correrà nella stagione F1 2019. Una vettura che evolve i concetti vincenti visti nel 2018 introducendo una nuova verniciatura opaca che innova il look della Rossa. Scopriamo come è fatta nell'approfondimento di Paolo Ciccarone, Diletta Colombo ed Emiliano Perucca Orfei",90,2501,2019-02-15T12:19:01.000Z,Ferrari SF90 | Ecco la nuova F1 2019,OtLydAfJLHg,178511
4,17,UCty0XKRffgfNWpiPcRbFXbA,Motorsport-Magazin,219,"Bahn frei für die neue rote Göttin: Ferrari stellt den SF90 für die Saison 2019 vor! Holt Sebastian Vettel damit den WM-Titel nach Maranello?

Mehr zum Thema findest du im Artikel auf unserer Website: https://www.motorsport-magazin.com/formel1/news-253106-formel-1-2019-technik-check-ferrari-sf90-sebaistan-vettel-wm-goettin/

Wenn Du Fragen zur Formel 1, MotoGP, Formel E, DTM oder Motorsport-Magazin.com allgemein hast, stelle sie uns auf unserer Community-Seite und vielleicht beantworten wir Deine Frage dann in einem unserer Q&A-Videos: https://www.youtube.com/user/MotorsportMagazinCom/community

In unserer Playlist findest Du noch mehr unserer Q&A-Videos mit Antworten auf Eure Fragen:
https://www.youtube.com/watch?v=qAo9L7B_sqY&list=PLEt_g7vjHF674kk1LYEU3GZGIp4GVZMQg

In unserer Formel-1-Playlist findest Du noch mehr Videos von uns: https://www.youtube.com/watch?v=EALuqY8QARM&list=PLEt_g7vjHF67q71YgmnK72Dr1znEQZFb8

Eine Podcast-Version unserer Videos findest Du bei Apple Podcasts: https://l.motormsm.com/ApplePodcasts
Android-User suchen bitte nach ""Motorsport-Magazin.com"" in der Podcast-App ihrer Wahl.

Mehr über unser Magazin erfährst Du hier: https://www.motorsport-magazin.com/goto/Print

Hol Dir 3 Ausgaben unseres Hefts im Probe-Abo: https://www.motorsport-magazin.com/goto/abo

#F1 #Ferrari #SebastianVettel",57,1666,2019-02-15T18:15:01.000Z,Formel 1 Autos 2019: Ferrari SF90 (Technik-Check),tt6peGEIIo8,129466
5,17,UCxuksozHJD_f1w9nVa6UhAw,Autosport,501,"Every Formula 1 team set its fastest time of pre-season on the penultimate day of the final test, with Ferrari making a bold statement out front. But Charles Leclerc's best lap was far from the full potential of the SF90, which looks superb on track. Ben Anderson is joined by Edd Straw and Jack Cozens in Barcelona to discuss what the fastest day of 2019 testing told us, how the midfield battle is shaping up, and where Mercedes fits into all of this as it avoided setting a headline lap time.",81,1419,2019-02-28T22:19:08.000Z,&#39;Ferrari can go even quicker&#39; - F1 testing&#39;s fastest day yet,QIDTLD1p0dQ,128186
6,17,UC-46hTnlyW3aCwjHs2acDzg,aarava,117,"Some raw shots of the F1 2019 Pre-Season Testing, specifically the Ferrari SF90 out on track in Barcelona, driven by Sebastian Vettel!
●►FOLLOW ME ON SOCIAL MEDIA: https://www.instagram.com/_aarava/ & https://twitter.com/_aarava
●►Like, Comment & Subscribe!
●►GT Omega UK/EU: http://goo.gl/53QcQa - ""aarava5""
●►GT Omega USA: http://goo.gl/50tRQH
●►Chrono - Get PC Games on the cheap! https://goo.gl/NFDLra
●► Thrustmaster - http://www.thrustmaster.com/en_UK/home

#F1 #F12019 #F12019Testing #PureSound #FerrariSF90 

F1 2019 Pre-Season Testing Highlight snippets of specific cars/teams from my day at the Circuit de Catalunya!

The cars testing are the Ferrari SF90, Red Bull RB15, Mercedes W10, Alfa Romeo Racing C38, McLaren MCL34, Toro Rosso STR14, Rich Energy Haas VF-19, Racing Point RP19, and (eventually) the Williams FW42!

These are raw pure sound clips, for my full vlog, check my channel page out!",39,1612,2019-02-19T15:15:29.000Z,F1 2019 Testing Raw Pure Sound - Ferrari SF90 2019 Car Highlights from Circuit de Catalunya!,DOp97c_0M4o,126729
7,17,UCPwy2q7BNjdLYu1kM_OEJVw,peterwindsor,137,"Craig Scarborough details the new F1 Ferrari SF90 to be driven in 2019 by Sebastian Vettel and Charles Leclerc.

Do not forget to subscribe: http://bit.ly/2SabVud

Follow on Twitter: http://goo.gl/TsvaMs
Like on Facebook: http://goo.gl/sBqGfi

http://www.ScarbsTech.com
http://www.richenergy.com
@peterdwinddsor",36,1177,2019-02-15T22:55:55.000Z,2019 F1 Ferrari SF90 analysed by Scarbs,DNROTNOg558,107395
8,20,UC-46hTnlyW3aCwjHs2acDzg,aarava,107,"F1 2019 Test Race at the Circuit de Cataluyna (Pre-Season Testing) with Sebastian Vettel in his F1 2019 Ferrari SF90 Car!
●►FOLLOW ME ON SOCIAL MEDIA: https://www.instagram.com/_aarava/ & https://twitter.com/_aarava
●►Like, Comment & Subscribe! 
●►GT Omega UK/EU: http://goo.gl/53QcQa - ""aarava5""
●►GT Omega USA: http://goo.gl/50tRQH
●►Chrono - Get PC Games on the cheap! https://goo.gl/NFDLra
●► Thrustmaster - http://www.thrustmaster.com/en_UK/home

#F12019 #F12019CareerMode #F12019Game

An F1 2019 Mod Gameplay video, with some F1 2019 Pre-Season Testing at the Circuit de Cataluyna! Playing and onboard with Sebastian Vettel in his F1 2019 Ferrari Car starting from the back in this F1 2019 Test Race!

The Mods used (from RaceDepartment, not linked to avoid FOM issues):
Krisdix's 2019 Season Mod 1.45 (with some minor tweaks)
DaddeRaga's Racing Point RP19 Livery mod 1.1
nicksawyl's Alfa Romeo Special Livery C38 v-1.0
TheSevi's McLaren MCL34 Mod 2019-02-16",72,1868,2019-02-21T19:59:46.000Z,F1 2019 Mod Gameplay Pre-Season Testing: Sebastian Vettel,iqBMP9m-c_w,97409
9,17,UCVV2gnI2z0L4WuZKHsmq-Eg,Marco Amendola - Giornalista,94,F1 New Ferrari SF90. Credits video Ferrari,36,398,2019-02-15T10:39:55.000Z,#F1 New Ferrari SF90 2019 Formula 1 Video ufficiale nuova Ferrari,LIRndggUX64,82072
