,author,cid,text,time,search_query,video_id,word_count,char_lengh,n_avg_word,n_numerics,upper_case,time_tag,urls_tag,hash_tag,emoji_tag,polarity,subjectivity,sentiment
1,K. Lewis,UgztlMfR1mG2RCHxFbh4AaABAg,Subbing back immediately to every who likes and comments on my newest videos. IM FAST,58 minutes ago,getting_more_views_on_youtube,GSFRXFI0pKc,15,85,4.733333333333333,0,2,,,,,0.1,0.3,positive
2,MFN DIY PROJECTS,UgyEJX97bedQN09ruwl4AaABAg,"I suggest all friends in comment list, if we all support each other and subscribe each other's channels so we can get subscription equal to count of comments. If any one agree please reply. Grow up with support",2 hours ago (edited),getting_more_views_on_youtube,GSFRXFI0pKc,38,210,4.552631578947368,0,1,,,,,-0.08333333333333333,0.3333333333333333,negative
12,info group,Ugx4zVE8J2ZPOEoY9Zt4AaABAg,Bhai mere channel ko promot kar do Bhai please Mujhe 4k watch time nahi ho rha ha please help me 🙏🙏🙏🙏🙏🙏🙏🙏😥😥,11 hours ago (edited),getting_more_views_on_youtube,GSFRXFI0pKc,21,107,4.142857142857143,0,0,,,,🙏🙏🙏🙏🙏🙏🙏🙏😥😥,-0.5,0.5,negative
14,Genesis Cyan,Ugz155MJp4nKdtxsLxN4AaABAg,LET’S SUPPORT EACH OTHER!!🤩♥️ 1. Like 2. Sub 3. Comment done 4. I’ll sub back!,12 hours ago,getting_more_views_on_youtube,GSFRXFI0pKc,15,78,4.266666666666667,0,4,,,,🤩♥,0.0,0.0,neutral
21,ninja 3241_YT,UgzuV9e9rRZ86eLvfax4AaABAg,Every one sub me i will sub back just comment me,14 hours ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,48,3.4545454545454546,0,0,,,,,0.0,0.0,neutral
23,Shahrivar,UgwJxrMIbhJ3rUix0Dp4AaABAg,1) Sub 2) Like 3) Comment 4) I'll do the same!,18 hours ago,getting_more_views_on_youtube,GSFRXFI0pKc,11,46,3.272727272727273,0,0,,,,,0.0,0.125,neutral
24,PETER GAMING,UgwthOh43IcpRjMwSPh4AaABAg,TO KYA KARO UNLISTE KAENE SE VIDEO NHI DIKH RHI MERE CHANNEL PAR,19 hours ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,64,4.0,0,13,,,,,-0.5,0.5,negative
25,PETER GAMING,UgzbSNlwUEH0KJO1Hft4AaABAg,BHAI EK BAT BTA UNLISTED KARNE SE MERI VIDEO VOHI DKH PA RHE HAI JIN KE PAS LINK,19 hours ago,getting_more_views_on_youtube,GSFRXFI0pKc,18,80,3.5,0,18,,,,,0.0,0.0,neutral
28,B3 Vlogs,UgyOGVOrTNVl4sA31Hx4AaABAg,Hello sir... I m newer on youtube... Sir Maine apki ye video Dekh kr apni video ko unlisted Kiya tha but wo video to muje dikh hi nai rahi... Me apni video pehle upload kr chuka tha but apki video ko Dekh k edit option ko use krke Maine unlisted kiya... But ab vo video muje apni video list me show nai ho rahi... What can I do sir... Help me out...,19 hours ago (edited),getting_more_views_on_youtube,GSFRXFI0pKc,72,349,3.861111111111111,0,2,,,,,0.0,0.0,neutral
44,potato man,Ugxk9FIQG5vzC5qRkLR4AaABAg,Cant show me how to make a mil til you made a mil,1 day ago,getting_more_views_on_youtube,GSFRXFI0pKc,13,49,2.8461538461538463,0,0,,,,,0.0,0.0,neutral
