,categoryId,channelId,channelTitle,commentCount,description,dislikeCount,likeCount,publishedAt,title,vidId,viewCount
0,28,UCLWpwxnTXnQsF1-CMphkDjA,Tech Next,2411,"hi Friends.in this video we take a look of Top 5 Upcoming NEXT-GEN Smartphones 2018-19.i hope you all like this video.

SUBSCRIBE To My Channel : https://www.youtube.com/c/technext2?sub_confirmation=1

Contact : technexthelp@gmail.com

Red Hydrogen One Video Credit : MKBHD : https://goo.gl/bfWeoY
Samsung Galaxy S10 Video credit : Concept Creator : https://goo.gl/AV6kTL

#UpcomingSmartphones #Tech #2018

Smartphones List :

1. Samsung Galaxy s10

2. Red Hydrogen One

3. Turing Phone

4. Lenovo Flexible Phone

5. Graalphone 

------------------------------------------------------------

Connect Tech Next On Social Media :

👉 Facebook :  https://goo.gl/GQetuL
👉 Twitter :  https://goo.gl/WNhCUA
👉 Instagram :  https://goo.gl/NQViqm

------------------------------------------------------------

Top 5 Upcoming Smartphones 2018
mobile phones
upcoming smartphones
top 5 best budget smartphones
new smartphones 2018

-------------------------------------------------------------

NOTE : we do not own any of the trailers,music,logos,songs shown in the video any they are all the copyrighted contents of the respective owners.",17318,77700,2018-08-20T10:05:19.000Z,Top 5 Upcoming Smartphones in 2018-19,u6pxs2N07qQ,12464162
1,28,UChq-hwCSHz-PbXzO2WlUFpg,JA Creations,3546,"~~~~~~THANKS FOR WATCHING~~~~~~
PLEASE LIKE, COMMENT AND SUBSCRIBE

🔴 Subscribe to our channel 🙌🙌🙌 :- https://www.youtube.com/JACreations

Check Out these videos also :-

Top 5 Best Smartphones Under Rs.10000 ($150) | 2017 :- https://youtu.be/yEZvDhXjK4I

Top 5 Best Laptops of 2017 | Windows :-https://youtu.be/kvQfFw_kSw8",11286,63289,2017-03-14T06:31:38.000Z,Top 5 Upcoming Smartphones | You Need to See,f5xiFB642ic,9289145
4,28,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,24275,"The best of smartphones in 2018!

🏆 Show more for all links/phones 🏆

Top Big Phones [0:53]
Best Compact Phones [2:33]
Best Cameras [4:26]
Best Battery Life [5:54]
The Design Award [7:42]
Top Budget Phones [9:13]
Biggest Bust [10:39]
Most Improved [11:33]
MVP [12:49]


Galaxy Note 9 Review: https://youtu.be/ihEhAbVRC78
Huawei Mate 20 Pro Review: https://youtu.be/MdqKJxyIecE
iPhone XS Review: https://youtu.be/YAF9BWpzwvI
Google Pixel 3 Review: https://youtu.be/E67Klqw2H-E
Samsung Galaxy S9 Review: https://youtu.be/Gzy_nCkn88U
iPhone XR Review: https://youtu.be/xsiV_-o5488
RED Hydrogen One Review: https://youtu.be/bNLgikGu4Yw
Oppo Find X Review: https://youtu.be/GRSfvePdhPA
Xiaomi Pocophone F1 Review: https://youtu.be/ZVoaNzRo0uo
Razer Phone 2: https://youtu.be/pIuSElb3Ous
OnePlus 6T Review: https://youtu.be/_6-XjSvbJsE


MKBHD Merch: http://shop.MKBHD.com

Video Gear I use: http://kit.com/MKBHD/video-gear#recommendation17959
Tech I'm using right now: https://www.amazon.com/shop/MKBHD

~
http://twitter.com/MKBHD
http://snapchat.com/add/MKBHD
http://google.com/+MarquesBrownlee
http://instagram.com/MKBHD
http://facebook.com/MKBHD",6539,187232,2018-12-19T04:30:34.000Z,Smartphone Awards 2018!,cpIEWsQpRMk,5148772
5,28,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,12407,"These three new Android Smartphones from Energizer in 2019 are some of the best value phones I've seen recently. One in particular though....stands out...
PRODUCT PAGE: http://igg.me/at/P18Ksmartphone

😄 Subscribe for more  content (IT'S FREE) 😄 : https://goo.gl/pLg6fE

It would make my day if you could also follow me on:
🌈 Instagram: https://goo.gl/OUqBBa
🐦 Twitter: https://goo.gl/EFhwqL
😊 Facebook: https://goo.gl/Aluzl1

Help support the channel when shopping on Amazon:
Amazon US: https://goo.gl/3yS2aP
Amazon UK: https://goo.gl/gvrsGZ

My Filming Gear:
https://goo.gl/5HKrBp

Music is from Epidemic sound, and HomageBeats:
https://www.youtube.com/user/homage253",3239,68492,2019-02-27T11:02:04.000Z,This Smartphone lasts 50 DAYS without Charging.,Yz8VcDWgpIM,3720009
6,28,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,17224,"Namaskaar Dosto, is video mein maine aapse Realme 3 Smartphone ke baare mein baat ki hai aur share ki hai iski Unboxing aur Overview. Realme 3 mein 6.2"" HD+ Screen hai Notch ke saath mein aur isme hai MediaTek P70 processor saath mein hai 3GB/4GB RAM aur 32GB/64GB ki Internal Storage. Realme 3 mein Dual Rear camera setup 13MP + 2MP aur saath mein 13MP front facing camera. Realme 3 mein 4230mAh ki battery hai. Iske alawa isme Fingerprint Scanner aur Face Unlock ka option bhi hai. Mujhe umeed hai ki aapko Realme 3 ki yeh Unboxing aur First Look video pasand aayegi. 

Realme 3 ki price hai 8,999 INR for 3GB/32GB aur 10,999INR 4GB/64GB option ke liye. 

Share, Support, Subscribe!!!
Subscribe: http://bit.ly/1Wfsvt4
Android App: https://technicalguruji.in/app
Youtube: http://www.youtube.com/c/TechnicalGuruji 
Twitter:  http://www.twitter.com/technicalguruji
Facebook: http://www.facebook.com/technicalguruji
Facebook Myself: https://goo.gl/zUfbUU
Instagram: http://instagram.com/technicalguruji
Google Plus: https://plus.google.com/+TechnicalGuruji
Website: https://technicalguruji.in/
Merchandise: http://shop.technicalguruji.in/

About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",6731,135035,2019-03-04T07:37:44.000Z,Realme 3 Unboxing &amp; First Look - Best Performance in Budget🔥🔥🔥,ul1VEKwD5gU,3366123
7,28,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,7480,"So this is the best selling smartphone on Amazon currently.
Blu Vivo XL4 (USA Link) - https://amzn.to/2RVghJL
Blu Vivo XL4 (International) - http://geni.us/DEpB44

WATCH SOME MORE VIDEOS...

I'm Switching To The OnePlus 6T...
https://youtu.be/vC6b8kLpUXc

Is The iPhone Smart Battery Case Worth The Price?
https://youtu.be/UjJ33OhPDcQ

I've got some bad news.
https://youtu.be/4QDsqWkUvXQ

Switching To iPhone Could Save Your Life...
https://youtu.be/7WN0iLDqulM

This Is Not A Laptop...
https://youtu.be/WA-ugf9rmMg

Could This Actually Be The iPhone 11?
https://youtu.be/_hRDknrbpIQ

Cancel  Save changes Can You Spot The Hidden Tech?
https://youtu.be/9wJGk99X-mc

The Foldable Smartphone You Can Buy Right Now
https://youtu.be/mgmgLmRBbUg

Apple Airpods Buyers Need To See This!
https://youtu.be/VSHzXsE_zN4

The Redmi Note 7 Could Be Smartphone Value Champion
https://youtu.be/mwiemk1pG_k

A Different Kind Of Smartphone...
https://youtu.be/lgl7PJxY6y8

Humans Are Physically Attacking Self-Driving Cars
https://youtu.be/We5jOR8djAY

Here's What A $5500 Smartphone Looks Like...
https://youtu.be/_Bs6F8jEuQM

The Samsung Galaxy M Will Have A Radical Price
https://youtu.be/pzb38YFnv30

The Most Minimalist Phone
https://youtu.be/0lZDDyAgnWs

The iPhone Will Be Made In India... But Why?
https://youtu.be/1oMJRjY_uoM

The iPad Pro Is Bending. I'm Not Happy.
https://youtu.be/QmV-HMwDueg

Can You Spot The Notch?
https://youtu.be/ykib2NjKtA0

The Best Noise Cancelling Headphones... Bose or Sony?
https://youtu.be/cRNqVGfy2O4

This Is Not A Flamethrower...
https://youtu.be/Hz6aQ7bRL8s

BUYER BEWARE
https://youtu.be/3GuJBolxAwk

Is It A Smartphone Or Is It A Laptop?
https://youtu.be/IpDoh7xYGjo

The Palm Phone actually fits in your palm
https://youtu.be/VToUrMnqKV4

They Sent A Special OnePlus 6T…
https://youtu.be/GFqGRjXGluY

Is The Surface Go A Real Computer?
https://youtu.be/wRABdjtkzsY

My Next Smartphone May Surprise You...
https://youtu.be/g25StPrw624

Wait... This Headset Does WHAT?
https://youtu.be/PCATqsHc7oE

The Truth About The iPad Pro...
https://youtu.be/JXqou3SVbMw

You’ve Never Seen A Smartphone Like This…
https://youtu.be/zpuy3vjdVNQ

The Mind Bending 77-inch Wallpaper TV
https://youtu.be/tjedpFHFKhY

The Craziest Smartphone Yet...
https://youtu.be/tZsiEfnOp30

Can The Google Pixel Slate Beat The iPad Pro?
https://youtu.be/lccvHF4ODNY

Is The Huawei Mate 20 Pro As Good As They Say?
https://youtu.be/peYgzUIOUp8

Is Nokia Back?
https://youtu.be/mXjZMleiJZs

I’m quitting computers
https://youtu.be/w3oRJeReP8g

Is The Surface Laptop 2 The Perfect Laptop?
https://youtu.be/Ht2L6wSEjHQ

The Enormous Microsoft Surface Studio 2
https://youtu.be/YZ489u3w7i0

The Addictive Sliding Smartphone...
https://www.youtube.com/watch?v=6vKQxTV366c&index=2&list=PL7u4lWXQ3wfI_7PgX0C-VTiwLeu0S4v34&t=8s

The Incredible Dual Screen Smartphone…
https://youtu.be/hcDrGYyemDw?list=PL7...

Is The iPad Pro Worth Laptop Money?
https://youtu.be/FGJWE_qcOAM?list=PL7...

Is This The Best Laptop For Most People?
https://youtu.be/8eMdpKwEvRw?list=PL7...

The Project Tesla Solar Powered Smartphone
https://youtu.be/NVO5XgJlL9Y?list=PL7...

3 Unusual Gadgets With Secret Features...
https://youtu.be/zNxR4gPm82I?list=PL7...

OnePlus 6T - Is This My Next Smartphone?
https://youtu.be/KI6ZJTSja4s?list=PL7...

Unboxing Every iPhone XR
https://youtu.be/u_MmxV2vNs8?list=PL7...

Unboxing a $1300 Professional Fighting Robot
https://youtu.be/X7MpHzdscUk?list=PL7...

Is The Pixel 3 A Scratch Magnet?
https://youtu.be/VX0sA_-h0-o?list=PL7...

This Smartphone Will Change Everything...
https://youtu.be/a1OUaxl2iiI?list=PL7...

Is This The Most Underrated Smartphone Right Now?
https://youtu.be/xXdEn9ZiRDk?list=PL7...

Razer Phone 2 Unboxing - Can It Compete?
https://youtu.be/khxLE4EBoTc?list=PL7...

I'm Switching To The Google Pixel 3 XL...
https://youtu.be/EeFqcmaw6iA?list=PL7...

The iPhone XS Max Is Great. Don't Buy It.
https://youtu.be/2ccjWGaZe3k?list=PL7...

Unboxing Every Google Pixel 3 XL + Pixel 3
https://youtu.be/BJrsmM6aEYE?list=PL7...

This Smartphone Has 5 Cameras… But Why?
https://youtu.be/LNa93qmP868?list=PL7...

The iPhone XS Has A Serious Problem...
https://youtu.be/J_lRJuQtBmc?list=PL7...

Realme 2 Pro Unboxing - The $200 Real Deal
https://youtu.be/pNzhLB6vSGQ?list=PL7...

My iPhone XS Max Is Doing Something Weird...
https://youtu.be/Q3GGdtn9poo?list=PL7...

I'm Switching To The iPhone XS Max...
https://youtu.be/SeZsW1o-jaA?list=PL7...

Unboxing Every iPhone XS + XS Max
https://youtu.be/XFckmtISfJk?list=PL7...

iPhone XS + XR Actual Battery Capacity Revealed
https://youtu.be/M-0hj4tmHNA?list=PL7...

The iPhone XR Is Depressing...
https://youtu.be/rpeFbaf6XkM?list=PL7...

FOLLOW ME IN THESE PLACES FOR UPDATES
Twitter - http://twitter.com/unboxtherapy
Facebook - http://facebook.com/lewis.hilsenteger
Instagram - http://instagram.com/unboxtherapy
Google Plus - http://bit.ly/1auEeak",2400,55933,2019-01-21T17:29:22.000Z,It&#39;s The Best Selling Smartphone On Amazon... But Why?,tfUbcks-87M,2929317
9,28,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,10654,"Namaskaar Dosto, is video mein maine aapse Best Smartphones ke baare mein baat ki hai, meri recommendations best phones ki aapke liye kya rahengi 5499Rs se leke 100000Rs tak yahi maine aapko is video mein bataya hai, Maine koshish ki hai ki meri taraf se aapko best possible options mile apne phone ke liye. Maine is video mein aapse meri choices share ki hai ek best phone ke liye. Mujhe umeed hai ki aapko yeh video pasand aayegi. 


Share, Support, Subscribe!!!
Subscribe: http://bit.ly/1Wfsvt4
Android App: https://technicalguruji.in/app
Youtube: http://www.youtube.com/c/TechnicalGuruji 
Twitter:  http://www.twitter.com/technicalguruji
Facebook: http://www.facebook.com/technicalguruji
Facebook Myself: https://goo.gl/zUfbUU
Instagram: http://instagram.com/technicalguruji
Google Plus: https://plus.google.com/+TechnicalGuruji
Website: https://technicalguruji.in/
Merchandise: http://shop.technicalguruji.in/

About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",5065,83429,2018-04-10T09:05:41.000Z,Best Smartphones to Buy? (5499Rs - 100000Rs) Best Phones in All Budget Categories?,-3eDbL7wELg,2814968
12,28,UC18WQbNSfrqxlIjKeIW3bGQ,ASBYT,2664,"Top 7 BEST Smartphones To BUY Early 2019!

Xiaomi Mi A2 - https://goo.gl/iy6H7t
Samsung galaxy Note 9 - https://amzn.to/2T4SqUI
https://amzn.to/2V5oBVT
OnePlus 6T - https://amzn.to/2SiwoxN
https://amzn.to/2QSl8vC
https://amzn.to/2RdaezB
iPhone Xs Max - https://amzn.to/2V6TdGH
https://amzn.to/2Cv0JUe
Xiaomi Mi Mix 3 - https://goo.gl/W1zkhe
Google Pixel 3 XL - https://amzn.to/2Gy0NXs
https://amzn.to/2Lw719a
Pocophone F1 - https://goo.gl/p75whi 
https://goo.gl/p75whi
Huawei Mate 20 Pro - https://amzn.to/2Rd9r1B
https://amzn.to/2ShqGwf

This video is my top 7 best smartphones / phones to buy now (December 2018) and early 2019! Some budget, some premium flagship, but all amazing! As people look to the new, upcoming, future smartphones in 2019, the ones we already have on the market might still be a better option to buy! 

** Other AMAZING smartphone deals! - https://goo.gl/X6dBHx
** Other Tech DEALS! - https://goo.gl/W8hjqd

** AMAZING NEW TECH DEALS: https://goo.gl/8XS3NC

** TOP 5 BEST VPNS for 2018:
https://goo.gl/qRbfqy

** BRAND NEW ASBYT MERCH!!! 
U.K. STORE:
https://shop.spreadshirt.co.uk/asbyt
U.S.A STORE: 
https://shop.spreadshirt.com/Asbyt

** Xiaomi Mi Box Purchase Link: https://goo.gl/p837SP

** BUY A USA NVIDIA SHIELD BEST PRICE: 
https://goo.gl/AVfx3c

** BUY A UK NVIDIA SHIELD BEST PRICE: 
https://goo.gl/PC94gs

** 2ND YOUTUBE CHANNEL:
https://www.youtube.com/channel/UCe-LvURal9KvCXVT-ydut0Q?sub_confirmation=1&app=desktop

** FOLLOW ME on TWITTER: https://twitter.com/ASB_YT
** FOLLOW ME on INSTAGRAM: https://instagram.com/asb_yt/ 

Some of the MUSIC is by www.bensound.com and 'copyrightfreemusic' YouTube channel",1988,18718,2018-12-24T13:53:38.000Z,Top 7 BEST Smartphones To BUY Early 2019!,x0EZv0LhNIk,2348162
13,28,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,5948,"The Huawei P30 Pro is the latest flagship smartphone from Huawei. I'll be switching from the Samsung Galaxy S10 to the Huawei P30 Pro in order to determine which is the best smartphone so far in 2019.

FOLLOW ME IN THESE PLACES FOR UPDATES
Twitter - http://twitter.com/unboxtherapy
Facebook - http://facebook.com/lewis.hilsenteger
Instagram - http://instagram.com/unboxtherapy",3883,36599,2019-04-03T16:29:46.000Z,I&#39;m switching to the Huawei P30 Pro,1amf3cR29bU,1691169
16,28,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,3698,"Namaskaar Dosto, is video mein maine aapse baat ki hai January 2019 mein launch hone waale phones ke baare mein. Yaha pe is saal 2019 mein hume bahut se phones dekhne ko milenge aur kuch phones bahut kamaal hai. Yaha mein baat ki hai Honor View 20 ke baare mein, Nokia 9, Realme A1, Vivo Nex Dual Display, Moto G7, Samsung Folding Phone, Redmi Pro 2, Sam,sung M series aur bahut kuch. Mujhe umeed hai ki aapko Upcoming Smartphones ke baare mein yeh video pasand aayegi. 


Share, Support, Subscribe!!!
Subscribe: http://bit.ly/1Wfsvt4
Android App: https://technicalguruji.in/app
Youtube: http://www.youtube.com/c/TechnicalGuruji 
Twitter:  http://www.twitter.com/technicalguruji
Facebook: http://www.facebook.com/technicalguruji
Facebook Myself: https://goo.gl/zUfbUU
Instagram: http://instagram.com/technicalguruji
Google Plus: https://plus.google.com/+TechnicalGuruji
Website: https://technicalguruji.in/
Merchandise: http://shop.technicalguruji.in/

About : Technical Guruji is a YouTube Channel, where you will find technological videos in Hindi, New Video is Posted Everyday :)",3480,61991,2019-01-02T05:21:52.000Z,Top Upcoming Smartphones - January 2019 🔥🔥🔥,0EPTZyLvaQQ,1445217
